Package;Description;Keywords;Type
starwarsdb;Relational Data from the 'Star Wars' API for Learning and Teaching;education,starwars;api
statcanR;Client for Statistics Canada's Open Economic Data;;api
suppdata;Downloading Supplementary Data from Published Manuscripts;reproducibleresearch;api
swissdd;Get Swiss Federal and Cantonal Vote Results from Opendata.swiss;government,election;api
SWMPr;Retrieving, Organizing, and Analyzing Estuary Monitoring Data;;api
SWMPrExtension;Additional Functions for Retrieving, Organizing, and Analyzing Estuary Monitoring Data;;api
SympluR;Analyze Healthcare Social Media Data from the 'Symplur' API;;api
tfdatasets;Interface to 'TensorFlow' Datasets;;api
tidycensus;Load US Census Boundary and Attribute Data as 'tidyverse' and 'sf'-Ready Data Frames;;api
tidyhydat;Extract and Tidy Canadian 'Hydrometric' Data;;api
totalcensus;Extract High Resolution Census Data;;api
tradestatistics;Open Trade Statistics API Wrapper and Utility Program;;api
trundler;Retrieve Data from 'Trundler' API;finance;api
tubern;R Client for the YouTube Analytics and Reporting API;;api
UCSCXenaTools;Download and Explore Datasets from UCSC Xena Data Hubs;;api
usdarnass;USDA NASS Quick Stats API;;api
vagalumeR;Access to the 'Vagalume' API;;api
VancouvR;Access the 'City of Vancouver' Open Data API;;api
waterData;Retrieval, Analysis, and Anomaly Calculation of Daily Hydrologic Time Series Data;;api
wbstats;Programmatic Access to Data and Statistics from the World Bank API;;api
WDI;World Development Indicators (World Bank);;api
wdpar;Interface to the World Database on Protected Areas;;api
wiesbaden;Access Databases from the Federal Statistical Office of Germany;;api
wikitaxa;Taxonomic Information from 'Wikipedia;;api
worldmet;Import Surface Meteorological Data from NOAA Integrated Surface Database (ISD);climate;api
wosr;Clients to the 'Web of Science' and 'InCites' APIs;;api
XKCDdata;Get XKCD Comic Data;;api
hurricaneexposure;Explore and Map County-Level Hurricane Exposure in the United States;drat;api
aimsir17;Irish Weather Observing Stations Hourly Records for 2017;;static
ameco;European Commission Annual Macro-Economic (AMECO) Database;;static
AmesHousing;The Ames Iowa Housing Data;;static
astrodatR;Astronomical Data;;static
atus;American Time Use Survey Data;;static
babynames;US Baby Names 1880-2015;;static
billboard;Contains Data of Billboard Hot 100 Songs;;static
bikeshare14;Bay Area Bike Share Trips in 2014;;static
binford;Binford's Hunter-Gatherer Data;;static
cd;CD Data for Entity Resolution;;static
completejourney;Retail Shopping Data;;static
copulaData;Data Sets for Copula Modeling;;static
coronavirus;The 2019 Novel Coronavirus COVID-19 (2019-nCoV) Dataset;covid19;static
dams;Dams in the United States from the National Inventory of Dams (NID);;static
datasauRus;Datasets from the Datasaurus Dozen;;static
Ecdat;Data Sets for Econometrics;;static
eechidna;Exploring Election and Census Highly Informative Data Nationally for Australia;;static
edmdata;Data Sets for Psychometric Modeling;psychology;static
fingertipsR;Fingertips Data for Public Health;;static
fishdata;A Small Collection of Fish Population Datasets;;static
fishkirkko2015;Dataset of Measurements of Fish Species at Kirkkojarvi Lake, Finland;;static
fivethirtyeight;Data and Code Behind the Stories and Interactives at 'FiveThirtyEight';;static
forwards;Data from Surveys Conducted by Forwards;;static
fueleconomy;EPA fuel economy data;;static
gamlss.data;GAMLSS Data;;static
gapminder;Data from Gapminder;;static
GCD;Global Charcoal Database;;static
GetTDData;Get Data for Brazilian Bonds (Tesouro Direto);;static
Guerry;Maps, data and methods related to Guerry (1833) "Moral Statistics of France";;static
healthyR.data;Data Only Package to 'healthyR';health;static
HistData;Data Sets from the History of Statistics and Data Visualization;;static
HURDAT;Hurricane Re-Analysis Project;;static
lexiconPT;Lexicons for Portuguese Text Analysis;;static
mapchina;China Administrative Divisions Geospatial Shapefile Data;maps;static
mlbench;Machine Learning Benchmark Problems;;static
mosaic;Project MOSAIC Statistics and Mathematics Teaching Utilities;;static
mosaicData;Project MOSAIC Data Sets;education;static
mozzie;Weekly Notified Dengue Cases in Sri Lanka;;static
nasaweather;Collection of datasets from the ASA 2006 data expo;;static
NHSRdatasets;NHS and Healthcare Related Data for Education and Training;;static
NNbenchmark;Datasets and Functions to Benchmark Neural Network Packages;package;static
nycflights13;Flights that Departed NYC in 2013;;static
nzpullover;Driving Offences in New Zealand Between 2009 and 2016;;static
ocedata;Oceanographic Data Sets for 'oce' Package;;static
okcupiddata;OkCupid Profile Data for Introductory Statistics and Data Science Courses;;static
outbreaks;A Collection of Disease Outbreak Data;;static
PakPC2017;Pakistan Population Census 2017;;static
PakPMICS2014Ch;Multiple Indicator Cluster Survey (MICS) 2014 Child Questionnaire Data for Punjab, Pakistan;;static
PakPMICS2014HH;Multiple Indicator Cluster Survey (MICS) 2014 Household Questionnaire Data for Punjab, Pakistan;;static
PakPMICS2014HL;Multiple Indicator Cluster Survey (MICS) 2014 Household Listing Questionnaire Data for Punjab, Pakistan;;static
palmerpenguins;Palmer Archipelago (Antarctica) Penguin Data;biology;static
PakPMICS2014Wm;Multiple Indicator Cluster Survey (MICS) 2014 Women Questionnaire Data for Punjab, Pakistan;;static
paperplanes;Distance Recordings from a Paper Plane Folding/Flying Experiment;;static
pdxTrees;Data Package of Portland, Oregon Trees;biology,government;static
PeriodicTable;Periodic Table of the Elements;chemistry;static
photobiologyFilters;Spectral Transmittance Data for Filters;;static
photobiologySun;Data for Sunlight Spectra;;static
pinochet;Data About the Victims of the Pinochet Regime, 1973-1990;;static
ppitables;Lookup Tables to Generate Poverty Likelihoods and Rates using the Poverty Probability Index (PPI);;static
pwt8;Penn World Table (Version 8.x);;static
pwt9;Penn World Table (Version 9.x);;static
r2dii.data;Datasets to Align Financial Markets with Climate Goals;finance,climate;static
repurrrsive;Examples of Recursive Lists and Nested or Split Data Frames;;static
ResidentialEnergyConsumption;Residential Energy Consumption Data;energy;static
restaurant;Restaurant Data for Entity Resolution;;static
rpdo;Pacific Decadal Oscillation Index Data;;static
rtrek;Datasets and Functions Relating to Star Trek;;static
rUnemploymentData;Data and Functions for USA State and County Unemployment Data;;static
schrute;The Entire Transcript from the Office in Tidy Format;;static
sotu;United States Presidential State of the Union Addresses;;static
spatstat.data;Datasets for 'spatstat';;static
spData;Datasets for Spatial Analysis;;static
SportsAnalytics;Infrastructure for Sports Analytics;;static
SPYvsSPY;Spy vs. Spy Data;;static
starwarsdb;Relational Data from the 'Star Wars' API for Learning and Teaching;;static
statprograms;Graduate Statistics Program Datasets;;static
stevedata;Steve's Toy Data for Teaching About a Variety of Methodological, Social, and Political Topics;teaching;static
textdata;Download and Load Various Text Datasets;;static
tidyUSDA;A Minimal Tool Set for Gathering USDA Quick Stat Data for Analysis and Visualization;;static
trigpoints;Data Set of Trig Points in Great Britain in British National Grid Coordinates;;static
tsibbledata;Diverse Datasets for 'tsibble';;static
UdderQuarterInfectionData;Udder Quarter Infection Data;;static
UKgrid;The UK National Electricity Transmission System Dataset;;static
usfertilizer;County-Level Estimates of Fertilizer Application in USA;;static
washdata;Urban Water and Sanitation Survey Dataset;;static
wpp2017;World Population Prospects 2017;;static
rwhatsapp;Import and Handling for 'WhatsApp' Chat Logs;;
vegtable;Handling Vegetation Data Sets;;
brazilmaps;Brazilian Maps from Different Geographic Levels;maps;
